DATE,person_id,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
2021-07-06,9775,1,6,0,3726.0,3130.0,3598.0,1562.0,0.0,69.0,46.0,142.0,23520.0,120.0,58.0,54.0,67.0,1.0,2160.0
2021-07-07,9775,2,6,0,9081.0,9481.0,5880.0,2220.0,2820.0,82.0,50.0,183.0,24960.0,120.0,61.0,54.0,91.0,0.0,1560.0
2021-07-08,9775,3,6,0,9644.0,7917.0,5520.0,5280.0,660.0,71.0,39.0,142.0,23160.0,120.0,61.0,54.0,81.0,0.0,1080.0
2021-07-09,9775,4,6,0,9354.0,8023.0,7501.0,4740.0,0.0,69.0,40.0,109.0,24600.0,120.0,60.0,55.0,92.0,1.0,1800.0
2021-07-10,9775,5,6,0,8438.0,7044.0,6840.0,3960.0,0.0,77.0,46.0,128.0,26220.0,180.0,61.0,54.0,72.0,2.0,1320.0
2021-07-11,9775,6,6,0,15526.0,13862.0,6360.0,10140.0,0.0,76.0,47.0,188.0,28860.0,120.0,57.0,55.0,64.0,0.0,660.0
2021-07-12,9775,0,6,0,9547.0,9389.0,5821.0,2400.0,1440.0,78.0,53.0,179.0,21180.0,120.0,61.0,54.0,92.0,1.0,1560.0
2021-07-13,9775,1,6,0,4340.0,3660.0,4440.0,1620.0,2040.0,73.0,51.0,172.0,24660.0,120.0,60.0,54.0,113.0,1.0,1860.0
2021-07-14,9775,2,6,0,8570.0,9054.0,4919.0,2340.0,1440.0,75.0,46.0,186.0,26460.0,120.0,57.0,53.0,65.0,0.0,540.0
2021-07-15,9775,3,6,0,4041.0,3613.0,4440.0,1740.0,780.0,72.0,40.0,167.0,23640.0,120.0,61.0,52.0,87.0,0.0,1200.0
2021-07-16,9775,4,6,0,6096.0,5177.0,5523.0,2880.0,0.0,72.0,52.0,128.0,27840.0,120.0,60.0,51.0,89.0,2.0,2946.600000000001
2021-07-17,9775,5,6,0,10907.0,8845.0,13499.0,3361.0,0.0,75.0,55.0,115.0,25740.0,120.0,62.0,56.0,117.0,0.0,120.0
2021-07-18,9775,6,6,0,12319.0,10468.0,12900.0,6060.0,0.0,60.0,54.0,91.0,25140.0,180.0,62.0,57.0,67.0,0.0,240.0
2021-07-19,9775,0,6,0,4401.0,3919.0,4320.0,2340.0,720.0,71.0,49.0,166.0,26160.0,120.0,58.0,44.89,67.0,0.0,120.0
2021-07-20,9775,1,6,0,10835.0,10970.0,4979.0,3900.0,1981.0,83.0,58.110000000000014,179.0,28080.0,120.0,57.0,47.0,68.0,0.0,120.0
2021-07-21,9775,2,6,0,4338.0,3494.0,5520.0,1260.0,780.0,71.0,55.0,171.0,25860.0,180.0,61.0,57.0,83.0,1.0,1140.0
2021-07-22,9775,3,6,0,8933.0,9019.0,5460.0,2220.0,2460.0,82.0,58.110000000000014,181.0,23880.0,120.0,58.0,54.0,66.0,1.0,660.0
2021-07-23,9775,4,6,0,3806.0,3415.0,4380.0,1620.0,1020.0,75.0,52.0,168.0,25200.0,120.0,60.0,54.0,73.0,1.0,420.0
2021-07-24,9775,5,6,0,4051.0,3197.0,8700.0,900.0,0.0,72.0,52.0,93.0,26220.0,120.0,61.0,56.0,68.0,1.0,780.0
