DATE,person_id,DAY_OF_THE_WEEK,MONTH,SEASON,ACTIVITY_steps,ACTIVITY_distance,ACTIVITY_soft,ACTIVITY_moderate,ACTIVITY_intense,ACTIVITY_hr_average,ACTIVITY_hr_min,ACTIVITY_hr_max,SLEEP_totalsleeptime,SLEEP_durationtosleep,SLEEP_hr_average,SLEEP_hr_min,SLEEP_hr_max,SLEEP_wakeupcount,SLEEP_wakeupduration
2021-07-06,7359,1,6,0,10378.0,8590.0,13500.0,2881.0,3000.0,48.0,45.0,53.89,28800.0,120.0,49.0,43.0,57.0,0.0,480.0
2021-07-07,7359,2,6,0,15234.0,14374.0,16742.0,1860.0,3300.0,85.0,55.0,199.0,26400.0,180.0,48.0,43.0,57.0,1.0,840.0
2021-07-08,7359,3,6,0,15553.0,13203.0,16777.0,4920.0,2460.0,81.0,49.0,163.0,24720.0,120.0,53.0,46.0,67.0,1.0,1080.0
2021-07-09,7359,4,6,0,15872.0,12990.0,16322.0,4619.0,1320.0,75.0,53.0,199.0,26160.0,180.0,47.0,40.0,56.0,0.0,240.0
2021-07-10,7359,5,6,0,14422.0,10776.0,24662.0,2760.0,1560.0,79.0,39.0,128.0,33000.0,120.0,49.0,41.0,56.0,1.0,600.0
2021-07-11,7359,6,6,0,16519.0,12840.0,15002.0,7620.0,0.0,76.0,49.0,151.0,26340.0,180.0,65.0,48.0,81.0,1.0,1140.0
2021-07-12,7359,0,6,0,15065.0,14987.0,15361.0,1980.0,4080.0,79.0,48.0,194.0,27240.0,120.0,46.0,40.0,75.0,1.0,480.0
2021-07-13,7359,1,6,0,13422.0,11828.0,16621.0,2700.0,1500.0,69.0,51.0,173.0,25860.0,360.0,47.0,42.0,54.0,1.0,780.0
2021-07-14,7359,2,6,0,12051.0,9965.0,20099.0,3061.0,1680.0,71.0,44.0,164.0,26250.0,150.0,48.0,41.5,61.5,1.0,690.0
2021-07-15,7359,3,6,0,14127.0,11589.0,25021.0,4500.0,0.0,69.0,45.0,172.0,28380.0,120.0,48.0,41.0,63.0,0.0,180.0
2021-07-16,7359,4,6,0,10276.0,7618.0,27362.0,1380.0,0.0,63.0,45.0,107.0,33840.0,120.0,48.0,40.0,63.0,1.0,1500.0
2021-07-17,7359,5,6,0,11546.0,10149.0,14040.0,1440.0,3300.0,79.0,49.0,187.0,34740.0,120.0,48.0,41.0,68.0,2.0,1440.0
2021-07-18,7359,6,6,0,12862.0,10133.0,20761.0,720.0,4500.0,46.0,41.0,54.0,32340.0,120.0,48.0,43.0,59.0,1.0,840.0
2021-07-19,7359,0,6,0,14383.0,12067.0,18719.0,1681.0,2880.0,70.0,50.0,182.0,28320.0,240.0,45.0,41.0,54.0,0.0,240.0
2021-07-20,7359,1,6,0,13820.0,11725.0,17399.0,2160.0,3240.0,70.0,44.0,163.0,29040.0,120.0,46.0,41.0,53.0,0.0,120.0
2021-07-21,7359,2,6,0,14355.0,12651.0,15362.0,2040.0,3360.0,75.0,50.0,180.0,25020.0,120.0,47.0,40.0,73.0,0.0,3352.8000000000065
2021-07-22,7359,3,6,0,12164.0,9728.0,16801.0,5160.0,0.0,72.0,49.0,170.0,16380.0,120.0,47.5,41.0,61.0,0.0,120.0
2021-07-23,7359,4,6,0,11624.0,11323.0,11219.0,2100.0,3240.0,65.0,42.0,201.0,28680.0,120.0,47.0,41.0,59.0,0.0,540.0
2021-07-24,7359,5,6,0,13524.0,11367.0,21122.0,1560.0,3360.0,59.0,39.0,170.0,26280.0,240.0,45.0,40.0,57.0,1.0,960.0
2021-07-25,7359,6,6,0,13412.0,9856.0,30182.0,360.0,0.0,74.0,45.0,141.0,28500.0,120.0,42.0,40.0,50.0,0.0,120.0
2021-07-26,7359,0,6,0,14394.0,12721.0,16802.0,2100.0,3720.0,68.0,39.0,186.0,25380.0,180.0,44.0,41.0,50.0,0.0,360.0
2021-07-27,7359,1,6,0,10199.0,7748.0,21778.0,2700.0,0.0,67.0,45.0,137.0,23880.0,120.0,44.0,39.0,57.0,1.0,420.0
2021-07-28,7359,2,6,0,14074.0,12807.0,17520.0,1441.0,3719.0,76.0,45.0,188.0,26640.0,120.0,45.0,41.0,54.0,1.0,900.0
2021-07-29,7359,3,6,0,14199.0,11811.0,16321.0,2100.0,3600.0,75.0,46.0,188.0,24360.0,180.0,47.0,41.0,88.0,2.0,1140.0
2021-07-30,7359,4,6,0,15461.0,13658.0,18120.0,2700.0,4020.0,76.0,48.0,180.0,30540.0,180.0,47.0,43.0,59.0,1.0,780.0
